candidate_id	seed	gc_deviation	homopolymer_max	repeated_12mers	cross_payload_12mer_collisions	reverse_complement_collisions	rejection_reason
payload_11_0_c83480034370	11	0.03819444444444442	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_1_1040a14c6af0	11	0.01736111111111116	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_2_a58cb1b02f1b	11	0.01388888888888884	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_3_aec13fba33f0	11	0.01215277777777779	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_4_bd7a3e93eaca	11	0.00868055555555558	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_5_f93f356a2e9d	11	0.013888888888888895	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_6_2fca146d4c7e	11	0.01909722222222221	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_7_bac4251a0bda	11	0.02777777777777779	7	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_8_772dacbbc2df	11	0.005208333333333315	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_9_275a2863e16d	11	0.03819444444444442	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_10_5bf91e037c5c	11	0.03125	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_11_c183ea2e6bec	11	0.026041666666666685	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_12_1e58fe8edfe9	11	0.07118055555555558	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_13_9a77631e0079	11	0.00347222222222221	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_14_8e469a681264	11	0.00520833333333337	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_15_f62d11e22489	11	0.015625	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_16_82a83aa4f984	11	0.01041666666666663	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_17_ca88b1a4619c	11	0.013888888888888895	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_18_7a097382ab35	11	0.005208333333333315	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_19_5e33656b66d7	11	0.02777777777777779	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_20_7babe8bdb22d	11	0.03819444444444442	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_21_bedef7748366	11	0.00347222222222221	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_22_a3c6e1d10870	11	0.015625	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_23_d859f0de28fd	11	0.036458333333333315	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
