molecule	channel	site_1	site_2	chemistry	pair_state	geometry	outcome
state_0	A	S1	S5	integrase	BP	antiparallel	inversion
state_0	A	S1	S5	integrase+rdf	BP	antiparallel	invalid_chemistry
state_0	B	S2	S7	integrase	BP	parallel	deletion_excision
state_0	B	S2	S7	integrase+rdf	BP	parallel	invalid_chemistry
state_0	C	S3	S6	integrase	BP	antiparallel	inversion
state_0	C	S3	S6	integrase+rdf	BP	antiparallel	invalid_chemistry
state_1	A	S5	S1	integrase	LR	antiparallel	invalid_chemistry
state_1	A	S5	S1	integrase+rdf	LR	antiparallel	inversion
state_1	B	S2	S7	integrase	BP	antiparallel	inversion
state_1	B	S2	S7	integrase+rdf	BP	antiparallel	invalid_chemistry
state_1	C	S3	S6	integrase	BP	parallel	deletion_excision
state_1	C	S3	S6	integrase+rdf	BP	parallel	invalid_chemistry
state_2	A	S5	S1	integrase	LR	parallel	invalid_chemistry
state_2	A	S5	S1	integrase+rdf	LR	parallel	deletion_excision
state_2	B	S7	S2	integrase	LR	antiparallel	invalid_chemistry
state_2	B	S7	S2	integrase+rdf	LR	antiparallel	inversion
state_2	C	S3	S6	integrase	BP	antiparallel	inversion
state_2	C	S3	S6	integrase+rdf	BP	antiparallel	invalid_chemistry
state_3	A	S5	S1	integrase	LR	parallel	invalid_chemistry
state_3	A	S5	S1	integrase+rdf	LR	parallel	deletion_excision
state_3	B	S7	S2	integrase	LR	parallel	invalid_chemistry
state_3	B	S7	S2	integrase+rdf	LR	parallel	deletion_excision
state_3	C	S6	S3	integrase	LR	antiparallel	invalid_chemistry
state_3	C	S6	S3	integrase+rdf	LR	antiparallel	inversion
reverse_state_2	A	S5	S1	integrase	LR	parallel	invalid_chemistry
reverse_state_2	A	S5	S1	integrase+rdf	LR	parallel	deletion_excision
reverse_state_2	B	S7	S2	integrase	LR	antiparallel	invalid_chemistry
reverse_state_2	B	S7	S2	integrase+rdf	LR	antiparallel	inversion
reverse_state_2	C	S3	S6	integrase	BP	antiparallel	inversion
reverse_state_2	C	S3	S6	integrase+rdf	BP	antiparallel	invalid_chemistry
reverse_state_1	A	S5	S1	integrase	LR	antiparallel	invalid_chemistry
reverse_state_1	A	S5	S1	integrase+rdf	LR	antiparallel	inversion
reverse_state_1	B	S2	S7	integrase	BP	antiparallel	inversion
reverse_state_1	B	S2	S7	integrase+rdf	BP	antiparallel	invalid_chemistry
reverse_state_1	C	S3	S6	integrase	BP	parallel	deletion_excision
reverse_state_1	C	S3	S6	integrase+rdf	BP	parallel	invalid_chemistry
restored_state_0	A	S1	S5	integrase	BP	antiparallel	inversion
restored_state_0	A	S1	S5	integrase+rdf	BP	antiparallel	invalid_chemistry
restored_state_0	B	S2	S7	integrase	BP	parallel	deletion_excision
restored_state_0	B	S2	S7	integrase+rdf	BP	parallel	invalid_chemistry
restored_state_0	C	S3	S6	integrase	BP	antiparallel	inversion
restored_state_0	C	S3	S6	integrase+rdf	BP	antiparallel	invalid_chemistry
